Tip;secao;Data;Loja;Valores
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;T7;150016,68
FATURAMENTO;VESTUARIO;31/01/2016;T7;31970,41
FATURAMENTO;GERAL;31/01/2016;T7;7573654,85
FATURAMENTO;AÇOUGUE;31/01/2016;CAMPINAS;
FATURAMENTO;ALHO;31/01/2016;CAMPINAS;
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;CAMPINAS;
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;CAMPINAS;
FATURAMENTO;AUTOS;31/01/2016;CAMPINAS;
FATURAMENTO;BASICO;31/01/2016;CAMPINAS;
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;CAMPINAS;
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;CAMPINAS;
FATURAMENTO;FRIOS;31/01/2016;CAMPINAS;
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;CAMPINAS;
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;CAMPINAS;
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;CAMPINAS;
FATURAMENTO;HIGIENE;31/01/2016;CAMPINAS;
FATURAMENTO;HORT FRUT;31/01/2016;CAMPINAS;
FATURAMENTO;LEITE;31/01/2016;CAMPINAS;
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;CAMPINAS;
FATURAMENTO;OVOS;31/01/2016;CAMPINAS;
FATURAMENTO;PADARIA INDUSTRIAL;31/01/2016;CAMPINAS;
FATURAMENTO;PADARIA PROPRIA;31/01/2016;CAMPINAS;
FATURAMENTO;PAPEL HIGIENICO;31/01/2016;CAMPINAS;
FATURAMENTO;PAPELARIA;31/01/2016;CAMPINAS;
FATURAMENTO;PEIXES RESFRIADOS;31/01/2016;CAMPINAS;
FATURAMENTO;PET SHOP;31/01/2016;CAMPINAS;
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;CAMPINAS;
FATURAMENTO;VESTUARIO;31/01/2016;CAMPINAS;
FATURAMENTO;GERAL;31/01/2016;CAMPINAS;
FATURAMENTO;AÇOUGUE;31/01/2016;PAPILLON;
FATURAMENTO;ALHO;31/01/2016;PAPILLON;
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;PAPILLON;
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;PAPILLON;
FATURAMENTO;AUTOS;31/01/2016;PAPILLON;
FATURAMENTO;BASICO;31/01/2016;PAPILLON;
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;PAPILLON;
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;PAPILLON;
FATURAMENTO;FRIOS;31/01/2016;PAPILLON;
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;PAPILLON;
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;PAPILLON;
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;PAPILLON;
FATURAMENTO;HIGIENE;31/01/2016;PAPILLON;
FATURAMENTO;HORT FRUT;31/01/2016;PAPILLON;
FATURAMENTO;LEITE;31/01/2016;PAPILLON;
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;PAPILLON;
FATURAMENTO;OVOS;31/01/2016;PAPILLON;
FATURAMENTO;PADARIA INDUSTRIAL;31/01/2016;PAPILLON;
FATURAMENTO;PADARIA PROPRIA;31/01/2016;PAPILLON;
FATURAMENTO;PAPEL HIGIENICO;31/01/2016;PAPILLON;
FATURAMENTO;PAPELARIA;31/01/2016;PAPILLON;
FATURAMENTO;PEIXES RESFRIADOS;31/01/2016;PAPILLON;
FATURAMENTO;PET SHOP;31/01/2016;PAPILLON;
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;PAPILLON;
FATURAMENTO;VESTUARIO;31/01/2016;PAPILLON;
FATURAMENTO;GERAL;31/01/2016;PAPILLON;
FATURAMENTO;AÇOUGUE;31/01/2016;PORTAL;
FATURAMENTO;ALHO;31/01/2016;PORTAL;
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;PORTAL;
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;PORTAL;
FATURAMENTO;AUTOS;31/01/2016;PORTAL;
FATURAMENTO;BASICO;31/01/2016;PORTAL;
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;PORTAL;
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;PORTAL;
FATURAMENTO;FRIOS;31/01/2016;PORTAL;
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;PORTAL;
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;PORTAL;
